




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (6765)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of catabolic process (GO:0009895)	310	158	95.38	+	1.66	4.95E-07	2.08E-05
regulation of protein polymerization (GO:0032271)	208	106	63.99	+	1.66	4.07E-05	1.14E-03
negative regulation of protein modification process (GO:0031400)	524	267	161.22	+	1.66	4.62E-11	3.15E-09
cellular metabolic process (GO:0044237)	6597	3358	2029.68	+	1.65	1.29E-187	2.04E-183
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	118	60	36.30	+	1.65	1.87E-03	3.17E-02
nitrogen compound metabolic process (GO:0006807)	5932	3013	1825.09	+	1.65	1.69E-157	1.33E-153
protein-DNA complex assembly (GO:0065004)	130	66	40.00	+	1.65	1.26E-03	2.27E-02
cellular response to nutrient levels (GO:0031669)	195	99	60.00	+	1.65	7.54E-05	2.01E-03
organic cyclic compound catabolic process (GO:1901361)	327	166	100.61	+	1.65	3.12E-07	1.35E-05
positive regulation of organelle organization (GO:0010638)	524	266	161.22	+	1.65	6.05E-11	4.04E-09
positive regulation of protein-containing complex assembly (GO:0031334)	205	104	63.07	+	1.65	4.84E-05	1.34E-03
MAPK cascade (GO:0000165)	138	70	42.46	+	1.65	9.69E-04	1.83E-02
apoptotic signaling pathway (GO:0097190)	280	142	86.15	+	1.65	1.94E-06	7.25E-05
regulation of mitotic cell cycle (GO:0007346)	472	239	145.22	+	1.65	7.01E-10	4.30E-08
catabolic process (GO:0009056)	1792	907	551.34	+	1.65	8.57E-36	2.25E-33
regulation of viral process (GO:0050792)	166	84	51.07	+	1.64	3.03E-04	6.73E-03
organophosphate biosynthetic process (GO:0090407)	415	210	127.68	+	1.64	8.80E-09	4.64E-07
positive regulation of endopeptidase activity (GO:0010950)	170	86	52.30	+	1.64	2.66E-04	6.02E-03
positive regulation of binding (GO:0051099)	192	97	59.07	+	1.64	1.16E-04	2.92E-03
negative regulation of mitotic cell cycle (GO:0045930)	214	108	65.84	+	1.64	3.94E-05	1.12E-03
DNA recombination (GO:0006310)	216	109	66.46	+	1.64	4.15E-05	1.16E-03
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	127	64	39.07	+	1.64	1.95E-03	3.28E-02
glycerophospholipid biosynthetic process (GO:0046474)	155	78	47.69	+	1.64	6.03E-04	1.23E-02
protein metabolic process (GO:0019538)	3574	1798	1099.60	+	1.64	3.23E-76	2.32E-73
cellular response to radiation (GO:0071478)	173	87	53.23	+	1.63	2.97E-04	6.61E-03
macromolecule metabolic process (GO:0043170)	5553	2789	1708.48	+	1.63	2.28E-135	5.99E-132
cell cycle phase transition (GO:0044770)	154	77	47.38	+	1.63	7.62E-04	1.50E-02
DNA conformation change (GO:0071103)	226	113	69.53	+	1.63	3.53E-05	1.02E-03
positive regulation of peptidase activity (GO:0010952)	180	90	55.38	+	1.63	2.26E-04	5.26E-03
organic substance catabolic process (GO:1901575)	1516	758	466.42	+	1.63	2.01E-28	3.96E-26
negative regulation of protein-containing complex assembly (GO:0031333)	144	72	44.30	+	1.63	1.21E-03	2.19E-02
regulation of protein localization to nucleus (GO:1900180)	150	75	46.15	+	1.63	8.66E-04	1.68E-02
homeostasis of number of cells (GO:0048872)	305	152	93.84	+	1.62	2.05E-06	7.62E-05
cellular response to chemical stress (GO:0062197)	249	124	76.61	+	1.62	2.03E-05	6.26E-04
regulation of myeloid cell differentiation (GO:0045637)	217	108	66.76	+	1.62	7.31E-05	1.97E-03
peptidyl-serine modification (GO:0018209)	209	104	64.30	+	1.62	9.44E-05	2.45E-03
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	191	95	58.76	+	1.62	1.91E-04	4.55E-03
lymphocyte differentiation (GO:0030098)	302	150	92.92	+	1.61	3.13E-06	1.12E-04
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	149	74	45.84	+	1.61	1.09E-03	2.02E-02
positive regulation of innate immune response (GO:0045089)	143	71	44.00	+	1.61	1.52E-03	2.66E-02
negative regulation of cell cycle process (GO:0010948)	260	129	79.99	+	1.61	1.36E-05	4.36E-04
organelle organization (GO:0006996)	3195	1584	983.00	+	1.61	3.98E-62	2.41E-59
defense response to virus (GO:0051607)	226	112	69.53	+	1.61	5.86E-05	1.60E-03
lymphocyte activation (GO:0046649)	463	229	142.45	+	1.61	7.20E-09	3.82E-07
cellular localization (GO:0051641)	2315	1144	712.25	+	1.61	2.35E-42	8.62E-40
defense response to symbiont (GO:0140546)	227	112	69.84	+	1.60	6.12E-05	1.67E-03
sister chromatid segregation (GO:0000819)	132	65	40.61	+	1.60	2.35E-03	3.86E-02
primary metabolic process (GO:0044238)	6486	3188	1995.53	+	1.60	1.84E-153	9.68E-150
apoptotic process (GO:0006915)	820	403	252.29	+	1.60	2.02E-14	1.80E-12
regulation of cell cycle (GO:0051726)	1040	511	319.97	+	1.60	4.78E-18	5.09E-16
macromolecule localization (GO:0033036)	2279	1118	701.17	+	1.59	3.55E-40	1.17E-37
protein autophosphorylation (GO:0046777)	200	98	61.53	+	1.59	2.56E-04	5.86E-03
regulation of viral life cycle (GO:1903900)	143	70	44.00	+	1.59	1.97E-03	3.30E-02
cellular response to extracellular stimulus (GO:0031668)	227	111	69.84	+	1.59	1.01E-04	2.59E-03
negative regulation of kinase activity (GO:0033673)	225	110	69.23	+	1.59	9.57E-05	2.48E-03
negative regulation of intracellular signal transduction (GO:1902532)	534	261	164.29	+	1.59	1.48E-09	8.71E-08
cellular component biogenesis (GO:0044085)	2399	1172	738.10	+	1.59	9.82E-42	3.36E-39
organelle localization (GO:0051640)	496	242	152.60	+	1.59	7.25E-09	3.83E-07
blastocyst development (GO:0001824)	152	74	46.77	+	1.58	1.57E-03	2.74E-02
mitotic cell cycle phase transition (GO:0044772)	144	70	44.30	+	1.58	2.06E-03	3.44E-02
negative regulation of cell cycle (GO:0045786)	342	166	105.22	+	1.58	2.39E-06	8.75E-05
programmed cell death (GO:0012501)	871	422	267.98	+	1.57	2.63E-14	2.26E-12
regulation of organelle organization (GO:0033043)	1149	556	353.51	+	1.57	1.28E-18	1.40E-16
establishment of organelle localization (GO:0051656)	360	174	110.76	+	1.57	1.53E-06	5.87E-05
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	209	101	64.30	+	1.57	2.64E-04	5.99E-03
negative regulation of protein kinase activity (GO:0006469)	201	97	61.84	+	1.57	3.45E-04	7.57E-03
DNA packaging (GO:0006323)	172	83	52.92	+	1.57	1.05E-03	1.96E-02
regulation of protein localization to cell periphery (GO:1904375)	141	68	43.38	+	1.57	3.09E-03	4.81E-02
cell cycle (GO:0007049)	1199	578	368.89	+	1.57	5.45E-19	6.09E-17
cell cycle process (GO:0022402)	767	369	235.98	+	1.56	2.76E-12	2.11E-10
mononuclear cell differentiation (GO:1903131)	343	165	105.53	+	1.56	4.01E-06	1.41E-04
glycerolipid biosynthetic process (GO:0045017)	181	87	55.69	+	1.56	8.36E-04	1.63E-02
cell death (GO:0008219)	910	437	279.98	+	1.56	2.34E-14	2.02E-12
dephosphorylation (GO:0016311)	225	108	69.23	+	1.56	2.01E-04	4.76E-03
regulation of cell cycle process (GO:0010564)	688	330	211.68	+	1.56	4.96E-11	3.34E-09
localization within membrane (GO:0051668)	528	253	162.45	+	1.56	1.12E-08	5.75E-07
positive regulation of response to biotic stimulus (GO:0002833)	188	90	57.84	+	1.56	7.99E-04	1.57E-02
regulation of hemopoiesis (GO:1903706)	393	188	120.91	+	1.55	9.26E-07	3.71E-05
regulation of lymphocyte differentiation (GO:0045619)	197	94	60.61	+	1.55	6.34E-04	1.29E-02
regulation of cysteine-type endopeptidase activity (GO:2000116)	239	114	73.53	+	1.55	1.84E-04	4.40E-03
leukocyte differentiation (GO:0002521)	409	195	125.84	+	1.55	7.01E-07	2.89E-05
negative regulation of DNA-binding transcription factor activity (GO:0043433)	170	81	52.30	+	1.55	1.62E-03	2.81E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	168	80	51.69	+	1.55	1.56E-03	2.71E-02
organonitrogen compound metabolic process (GO:1901564)	4492	2138	1382.04	+	1.55	2.24E-77	1.86E-74
nucleobase-containing small molecule metabolic process (GO:0055086)	431	205	132.60	+	1.55	4.87E-07	2.05E-05
negative regulation of protein localization (GO:1903828)	221	105	67.99	+	1.54	3.70E-04	8.01E-03
cellular response to external stimulus (GO:0071496)	261	124	80.30	+	1.54	1.02E-04	2.60E-03
regulation of cellular localization (GO:0060341)	857	405	263.67	+	1.54	1.38E-12	1.06E-10
regulation of production of molecular mediator of immune response (GO:0002700)	174	82	53.53	+	1.53	1.82E-03	3.10E-02
regulation of T cell differentiation (GO:0045580)	164	77	50.46	+	1.53	2.84E-03	4.52E-02
proteolysis (GO:0006508)	1182	553	363.66	+	1.52	2.93E-16	2.88E-14
negative regulation of phosphorus metabolic process (GO:0010563)	451	211	138.76	+	1.52	8.13E-07	3.35E-05
negative regulation of phosphate metabolic process (GO:0045936)	451	211	138.76	+	1.52	8.13E-07	3.34E-05
purine ribonucleotide metabolic process (GO:0009150)	278	130	85.53	+	1.52	1.25E-04	3.10E-03
nucleoside phosphate metabolic process (GO:0006753)	381	178	117.22	+	1.52	6.85E-06	2.32E-04
metabolic process (GO:0008152)	7675	3583	2361.35	+	1.52	3.02E-153	1.19E-149
ribose phosphate metabolic process (GO:0019693)	309	144	95.07	+	1.51	5.49E-05	1.51E-03
negative regulation of phosphorylation (GO:0042326)	395	184	121.53	+	1.51	4.90E-06	1.70E-04
organic substance metabolic process (GO:0071704)	7241	3373	2227.82	+	1.51	2.88E-137	9.08E-134
regulation of response to biotic stimulus (GO:0002831)	364	169	111.99	+	1.51	1.40E-05	4.45E-04
negative regulation of organelle organization (GO:0010639)	349	162	107.38	+	1.51	2.39E-05	7.23E-04
purine nucleotide metabolic process (GO:0006163)	293	136	90.15	+	1.51	9.31E-05	2.43E-03
regulation of innate immune response (GO:0045088)	237	110	72.92	+	1.51	4.49E-04	9.48E-03
nucleotide metabolic process (GO:0009117)	372	172	114.45	+	1.50	1.36E-05	4.36E-04
organic substance transport (GO:0071702)	1832	847	563.65	+	1.50	8.67E-24	1.25E-21
protein localization to membrane (GO:0072657)	463	214	142.45	+	1.50	1.36E-06	5.24E-05
regulation of binding (GO:0051098)	394	182	121.22	+	1.50	7.58E-06	2.54E-04
negative regulation of gene expression (GO:0010629)	932	430	286.75	+	1.50	4.22E-12	3.16E-10
ribonucleotide metabolic process (GO:0009259)	297	137	91.38	+	1.50	1.26E-04	3.12E-03
negative regulation of protein phosphorylation (GO:0001933)	347	160	106.76	+	1.50	3.55E-05	1.02E-03
glycerophospholipid metabolic process (GO:0006650)	256	118	78.76	+	1.50	3.59E-04	7.84E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1886	864	580.26	+	1.49	2.27E-23	3.17E-21
hemopoiesis (GO:0030097)	705	322	216.91	+	1.48	5.70E-09	3.07E-07
hematopoietic or lymphoid organ development (GO:0048534)	763	348	234.75	+	1.48	1.51E-09	8.83E-08
regulation of leukocyte differentiation (GO:1902105)	318	145	97.84	+	1.48	1.07E-04	2.70E-03
cellular component assembly (GO:0022607)	2172	990	668.25	+	1.48	2.59E-26	4.30E-24
phospholipid metabolic process (GO:0006644)	334	152	102.76	+	1.48	7.94E-05	2.10E-03
regulation of protein localization to membrane (GO:1905475)	200	91	61.53	+	1.48	2.73E-03	4.37E-02
carbohydrate derivative biosynthetic process (GO:1901137)	464	211	142.76	+	1.48	3.32E-06	1.18E-04
positive regulation of programmed cell death (GO:0043068)	617	280	189.83	+	1.47	9.54E-08	4.41E-06
positive regulation of apoptotic process (GO:0043065)	606	275	186.45	+	1.47	1.16E-07	5.33E-06
positive regulation of macromolecule biosynthetic process (GO:0010557)	1805	819	555.34	+	1.47	3.54E-21	4.53E-19
organophosphate metabolic process (GO:0019637)	761	345	234.14	+	1.47	2.76E-09	1.54E-07
T cell activation (GO:0042110)	300	136	92.30	+	1.47	2.60E-04	5.89E-03
chromosome segregation (GO:0007059)	278	126	85.53	+	1.47	3.82E-04	8.25E-03
immune system development (GO:0002520)	799	362	245.83	+	1.47	1.12E-09	6.69E-08
regulation of cellular protein metabolic process (GO:0032268)	2381	1077	732.56	+	1.47	6.31E-28	1.17E-25
regulation of protein metabolic process (GO:0051246)	2558	1157	787.01	+	1.47	3.57E-30	7.60E-28
purine-containing compound metabolic process (GO:0072521)	314	142	96.61	+	1.47	1.85E-04	4.42E-03
negative regulation of cellular protein metabolic process (GO:0032269)	999	451	307.36	+	1.47	1.42E-11	1.03E-09
positive regulation of protein localization (GO:1903829)	488	220	150.14	+	1.47	3.58E-06	1.27E-04
positive regulation of protein metabolic process (GO:0051247)	1483	668	456.27	+	1.46	1.07E-16	1.09E-14
phosphorus metabolic process (GO:0006793)	1653	744	508.57	+	1.46	1.34E-18	1.46E-16
positive regulation of nitrogen compound metabolic process (GO:0051173)	3004	1351	924.23	+	1.46	6.05E-35	1.49E-32
leukocyte activation (GO:0045321)	585	263	179.99	+	1.46	4.04E-07	1.72E-05
negative regulation of protein metabolic process (GO:0051248)	1064	478	327.36	+	1.46	5.16E-12	3.85E-10
phosphate-containing compound metabolic process (GO:0006796)	1634	734	502.73	+	1.46	4.12E-18	4.42E-16
regulation of protein localization (GO:0032880)	937	420	288.28	+	1.46	1.45E-10	9.36E-09
positive regulation of RNA metabolic process (GO:0051254)	1702	761	523.65	+	1.45	1.81E-18	1.96E-16
positive regulation of cellular metabolic process (GO:0031325)	3257	1456	1002.07	+	1.45	4.92E-37	1.49E-34
regulation of protein binding (GO:0043393)	217	97	66.76	+	1.45	2.57E-03	4.16E-02
small GTPase mediated signal transduction (GO:0007264)	233	104	71.69	+	1.45	1.89E-03	3.20E-02
regulation of actin filament organization (GO:0110053)	276	123	84.92	+	1.45	8.44E-04	1.64E-02
positive regulation of cellular protein metabolic process (GO:0032270)	1399	623	430.43	+	1.45	7.76E-15	7.11E-13
positive regulation of cellular biosynthetic process (GO:0031328)	1921	855	591.03	+	1.45	2.69E-20	3.16E-18
positive regulation of biosynthetic process (GO:0009891)	1969	876	605.80	+	1.45	7.81E-21	9.62E-19
positive regulation of cell death (GO:0010942)	689	305	211.98	+	1.44	1.41E-07	6.37E-06
regulation of DNA-binding transcription factor activity (GO:0051090)	433	191	133.22	+	1.43	3.95E-05	1.12E-03
positive regulation of establishment of protein localization (GO:1904951)	334	147	102.76	+	1.43	4.11E-04	8.75E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3431	1506	1055.61	+	1.43	2.52E-35	6.40E-33
glycerolipid metabolic process (GO:0046486)	334	146	102.76	+	1.42	5.00E-04	1.04E-02
cellular response to abiotic stimulus (GO:0071214)	275	120	84.61	+	1.42	1.85E-03	3.14E-02
cellular response to environmental stimulus (GO:0104004)	275	120	84.61	+	1.42	1.85E-03	3.13E-02
regulation of response to stress (GO:0080134)	1371	597	421.81	+	1.42	7.18E-13	5.60E-11
regulation of supramolecular fiber organization (GO:1902903)	386	168	118.76	+	1.41	2.15E-04	5.06E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1484	645	456.58	+	1.41	9.24E-14	7.83E-12
positive regulation of RNA biosynthetic process (GO:1902680)	1567	681	482.12	+	1.41	1.88E-14	1.68E-12
positive regulation of nucleic acid-templated transcription (GO:1903508)	1561	678	480.27	+	1.41	2.10E-14	1.85E-12
positive regulation of transcription, DNA-templated (GO:0045893)	1561	678	480.27	+	1.41	2.10E-14	1.83E-12
regulation of macromolecule biosynthetic process (GO:0010556)	3758	1631	1156.22	+	1.41	1.18E-36	3.33E-34
positive regulation of metabolic process (GO:0009893)	3772	1637	1160.52	+	1.41	7.61E-37	2.18E-34
positive regulation of hydrolase activity (GO:0051345)	540	234	166.14	+	1.41	1.39E-05	4.41E-04
regulation of establishment of protein localization (GO:0070201)	577	250	177.52	+	1.41	8.14E-06	2.72E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1468	636	451.66	+	1.41	2.28E-13	1.86E-11
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3721	1610	1144.83	+	1.41	1.46E-35	3.78E-33
cell activation (GO:0001775)	673	291	207.06	+	1.41	1.33E-06	5.15E-05
negative regulation of biosynthetic process (GO:0009890)	1589	687	488.88	+	1.41	3.23E-14	2.76E-12
phosphorylation (GO:0016310)	862	372	265.21	+	1.40	5.55E-08	2.63E-06
regulation of transferase activity (GO:0051338)	821	354	252.60	+	1.40	1.29E-07	5.86E-06
regulation of programmed cell death (GO:0043067)	1560	672	479.96	+	1.40	1.15E-13	9.61E-12
regulation of apoptotic process (GO:0042981)	1528	658	470.12	+	1.40	2.21E-13	1.81E-11
protein phosphorylation (GO:0006468)	688	296	211.68	+	1.40	1.66E-06	6.30E-05
regulation of protein modification process (GO:0031399)	1569	675	482.73	+	1.40	1.10E-13	9.21E-12
organelle assembly (GO:0070925)	728	313	223.98	+	1.40	8.49E-07	3.44E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1545	664	475.35	+	1.40	2.36E-13	1.92E-11
response to radiation (GO:0009314)	429	184	131.99	+	1.39	2.04E-04	4.82E-03
regulation of biosynthetic process (GO:0009889)	4020	1724	1236.82	+	1.39	6.85E-37	2.00E-34
regulation of cellular biosynthetic process (GO:0031326)	3939	1688	1211.90	+	1.39	8.56E-36	2.29E-33
organelle fission (GO:0048285)	327	140	100.61	+	1.39	1.39E-03	2.44E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1462	625	449.81	+	1.39	2.90E-12	2.21E-10
positive regulation of cell cycle (GO:0045787)	351	150	107.99	+	1.39	9.61E-04	1.82E-02
negative regulation of cellular metabolic process (GO:0031324)	2503	1069	770.09	+	1.39	5.43E-21	6.79E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3802	1623	1169.75	+	1.39	1.77E-33	4.04E-31
regulation of cell death (GO:0010941)	1736	741	534.11	+	1.39	2.05E-14	1.82E-12
regulation of GTPase activity (GO:0043087)	345	147	106.15	+	1.38	1.06E-03	1.97E-02
negative regulation of RNA metabolic process (GO:0051253)	1353	576	416.27	+	1.38	3.45E-11	2.45E-09
regulation of cellular component biogenesis (GO:0044087)	995	423	306.13	+	1.38	2.18E-08	1.10E-06
positive regulation of protein transport (GO:0051222)	318	135	97.84	+	1.38	2.09E-03	3.48E-02
positive regulation of catalytic activity (GO:0043085)	1058	449	325.51	+	1.38	8.92E-09	4.69E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2345	995	721.48	+	1.38	7.34E-19	8.14E-17
positive regulation of molecular function (GO:0044093)	1477	626	454.43	+	1.38	8.90E-12	6.56E-10
intracellular signal transduction (GO:0035556)	1360	573	418.43	+	1.37	1.57E-10	1.01E-08
negative regulation of metabolic process (GO:0009892)	2967	1250	912.85	+	1.37	3.95E-23	5.46E-21
regulation of cytoskeleton organization (GO:0051493)	544	229	167.37	+	1.37	7.50E-05	2.00E-03
regulation of RNA metabolic process (GO:0051252)	3547	1493	1091.30	+	1.37	4.08E-28	7.74E-26
regulation of actin cytoskeleton organization (GO:0032956)	366	154	112.61	+	1.37	1.21E-03	2.19E-02
regulation of protein transport (GO:0051223)	547	230	168.29	+	1.37	7.80E-05	2.07E-03
regulation of cellular metabolic process (GO:0031323)	5837	2454	1795.86	+	1.37	2.86E-52	1.41E-49
negative regulation of macromolecule metabolic process (GO:0010605)	2747	1154	845.16	+	1.37	6.76E-21	8.39E-19
regulation of nitrogen compound metabolic process (GO:0051171)	5465	2294	1681.40	+	1.36	2.86E-47	1.22E-44
cellular component organization or biogenesis (GO:0071840)	5450	2284	1676.79	+	1.36	1.43E-46	5.65E-44
regulation of primary metabolic process (GO:0080090)	5649	2360	1738.02	+	1.36	9.40E-48	4.12E-45
regulation of proteolysis (GO:0030162)	743	310	228.60	+	1.36	7.23E-06	2.43E-04
regulation of gene expression (GO:0010468)	4693	1957	1443.89	+	1.36	5.51E-37	1.64E-34
carbohydrate derivative metabolic process (GO:1901135)	831	346	255.67	+	1.35	2.47E-06	9.00E-05
positive regulation of cellular component organization (GO:0051130)	1175	486	361.51	+	1.34	2.85E-08	1.42E-06
negative regulation of cell death (GO:0060548)	1115	461	343.05	+	1.34	7.28E-08	3.45E-06
positive regulation of transcription by RNA polymerase II (GO:0045944)	1265	523	389.20	+	1.34	9.52E-09	4.95E-07
regulation of cellular component size (GO:0032535)	392	162	120.61	+	1.34	1.70E-03	2.91E-02
cellular response to cytokine stimulus (GO:0071345)	690	285	212.29	+	1.34	3.24E-05	9.42E-04
regulation of macromolecule metabolic process (GO:0060255)	6085	2512	1872.16	+	1.34	1.27E-48	6.05E-46
regulation of T cell activation (GO:0050863)	349	144	107.38	+	1.34	3.21E-03	4.97E-02
vesicle-mediated transport (GO:0016192)	1375	567	423.04	+	1.34	2.45E-09	1.39E-07
regulation of metabolic process (GO:0019222)	6582	2711	2025.07	+	1.34	1.57E-53	7.96E-51
regulation of intracellular signal transduction (GO:1902531)	1621	667	498.73	+	1.34	1.06E-10	6.94E-09
negative regulation of programmed cell death (GO:0043069)	982	403	302.13	+	1.33	1.07E-06	4.24E-05
response to cytokine (GO:0034097)	792	325	243.67	+	1.33	1.30E-05	4.18E-04
negative regulation of nucleic acid-templated transcription (GO:1903507)	1246	511	383.35	+	1.33	3.32E-08	1.63E-06
negative regulation of apoptotic process (GO:0043066)	959	393	295.05	+	1.33	1.57E-06	5.98E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1247	511	383.66	+	1.33	3.36E-08	1.64E-06
negative regulation of transcription, DNA-templated (GO:0045892)	1242	508	382.12	+	1.33	4.38E-08	2.09E-06
negative regulation of cellular component organization (GO:0051129)	712	291	219.06	+	1.33	4.89E-05	1.35E-03
regulation of nucleic acid-templated transcription (GO:1903506)	3241	1321	997.15	+	1.32	2.39E-20	2.86E-18
regulation of RNA biosynthetic process (GO:2001141)	3249	1324	999.61	+	1.32	2.19E-20	2.63E-18
regulation of transcription, DNA-templated (GO:0006355)	3237	1317	995.92	+	1.32	4.60E-20	5.33E-18
positive regulation of gene expression (GO:0010628)	1203	489	370.12	+	1.32	1.63E-07	7.27E-06
positive regulation of cellular component biogenesis (GO:0044089)	535	217	164.60	+	1.32	6.67E-04	1.34E-02
regulation of catalytic activity (GO:0050790)	1800	729	553.80	+	1.32	1.19E-10	7.78E-09
cellular component organization (GO:0016043)	5256	2126	1617.10	+	1.31	3.28E-34	7.61E-32
positive regulation of protein modification process (GO:0031401)	1029	415	316.59	+	1.31	2.79E-06	1.01E-04
regulation of cellular component organization (GO:0051128)	2423	973	745.48	+	1.31	1.91E-13	1.58E-11
in utero embryonic development (GO:0001701)	531	213	163.37	+	1.30	1.18E-03	2.15E-02
regulation of protein kinase activity (GO:0045859)	596	239	183.37	+	1.30	5.80E-04	1.20E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	959	382	295.05	+	1.29	1.78E-05	5.55E-04
regulation of molecular function (GO:0065009)	2550	1012	784.55	+	1.29	5.82E-13	4.61E-11
lipid biosynthetic process (GO:0008610)	515	204	158.45	+	1.29	2.44E-03	3.98E-02
regulation of kinase activity (GO:0043549)	702	278	215.98	+	1.29	3.62E-04	7.87E-03
negative regulation of molecular function (GO:0044092)	1019	402	313.51	+	1.28	2.24E-05	6.83E-04
small molecule metabolic process (GO:0044281)	1474	580	453.50	+	1.28	3.26E-07	1.40E-05
response to stress (GO:0006950)	3303	1298	1016.23	+	1.28	9.70E-16	9.26E-14
negative regulation of signal transduction (GO:0009968)	1258	493	387.05	+	1.27	3.72E-06	1.32E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2499	979	768.86	+	1.27	1.77E-11	1.29E-09
membrane organization (GO:0061024)	848	331	260.90	+	1.27	2.29E-04	5.32E-03
positive regulation of cellular process (GO:0048522)	5933	2311	1825.39	+	1.27	1.61E-29	3.37E-27
negative regulation of cellular process (GO:0048523)	4935	1916	1518.34	+	1.26	1.29E-22	1.74E-20
response to organonitrogen compound (GO:0010243)	787	305	242.13	+	1.26	6.21E-04	1.27E-02
negative regulation of biological process (GO:0048519)	5397	2083	1660.48	+	1.25	5.22E-24	7.61E-22
negative regulation of catalytic activity (GO:0043086)	662	254	203.68	+	1.25	2.96E-03	4.68E-02
regulation of cytokine production (GO:0001817)	773	296	237.83	+	1.24	1.38E-03	2.43E-02
regulation of hydrolase activity (GO:0051336)	976	373	300.28	+	1.24	3.35E-04	7.37E-03
positive regulation of biological process (GO:0048518)	6454	2461	1985.69	+	1.24	2.82E-27	5.16E-25
establishment of localization (GO:0051234)	3834	1460	1179.60	+	1.24	3.56E-14	3.03E-12
response to nitrogen compound (GO:1901698)	904	344	278.13	+	1.24	7.25E-04	1.44E-02
negative regulation of cell communication (GO:0010648)	1381	525	424.89	+	1.24	2.73E-05	8.09E-04
negative regulation of signaling (GO:0023057)	1385	526	426.12	+	1.23	2.79E-05	8.23E-04
transport (GO:0006810)	3671	1392	1129.45	+	1.23	5.36E-13	4.27E-11
regulation of phosphate metabolic process (GO:0019220)	1422	539	437.50	+	1.23	2.73E-05	8.10E-04
regulation of phosphorus metabolic process (GO:0051174)	1423	539	437.81	+	1.23	2.74E-05	8.12E-04
response to abiotic stimulus (GO:0009628)	971	367	298.75	+	1.23	6.73E-04	1.35E-02
regulation of signal transduction (GO:0009966)	2884	1083	887.31	+	1.22	2.67E-09	1.50E-07
regulation of phosphorylation (GO:0042325)	1277	476	392.89	+	1.21	2.79E-04	6.27E-03
negative regulation of response to stimulus (GO:0048585)	1652	615	508.27	+	1.21	3.25E-05	9.42E-04
cellular response to oxygen-containing compound (GO:1901701)	955	354	293.82	+	1.20	2.40E-03	3.94E-02
cellular response to organic substance (GO:0071310)	1866	686	574.11	+	1.19	3.59E-05	1.03E-03
regulation of immune system process (GO:0002682)	1637	596	503.65	+	1.18	3.03E-04	6.73E-03
regulation of protein phosphorylation (GO:0001932)	1132	412	348.28	+	1.18	3.06E-03	4.79E-02
regulation of signaling (GO:0023051)	3319	1205	1021.15	+	1.18	1.10E-07	5.04E-06
regulation of cell communication (GO:0010646)	3308	1199	1017.77	+	1.18	1.59E-07	7.11E-06
regulation of response to stimulus (GO:0048583)	4055	1469	1247.59	+	1.18	3.34E-09	1.84E-07
positive regulation of signal transduction (GO:0009967)	1555	563	478.42	+	1.18	6.56E-04	1.32E-02
localization (GO:0051179)	5099	1841	1568.80	+	1.17	2.13E-11	1.53E-09
cellular process (GO:0009987)	15335	5465	4718.09	+	1.16	3.67E-74	2.41E-71
response to organic substance (GO:0010033)	2608	925	802.40	+	1.15	8.89E-05	2.33E-03
positive regulation of signaling (GO:0023056)	1771	627	544.88	+	1.15	1.82E-03	3.09E-02
positive regulation of cell communication (GO:0010647)	1764	622	542.73	+	1.15	2.49E-03	4.05E-02
cellular response to chemical stimulus (GO:0070887)	2473	864	760.86	+	1.14	7.07E-04	1.41E-02
regulation of cellular process (GO:0050794)	11674	3817	3591.71	+	1.06	1.60E-06	6.10E-05
regulation of biological process (GO:0050789)	12211	3978	3756.93	+	1.06	2.16E-06	7.96E-05
biological regulation (GO:0065007)	12822	4160	3944.92	+	1.05	3.29E-06	1.17E-04
biological_process (GO:0008150)	20686	6569	6364.42	+	1.03	3.51E-25	5.48E-23
cellular response to stimulus (GO:0051716)	6781	1918	2086.30	-	.92	9.43E-05	2.45E-03
