




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (8926)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular component assembly (GO:0022607)	2172	1226	881.72	+	1.39	5.89E-22	9.38E-20
immune system development (GO:0002520)	799	451	324.35	+	1.39	1.92E-08	1.12E-06
hematopoietic or lymphoid organ development (GO:0048534)	763	430	309.74	+	1.39	4.97E-08	2.75E-06
positive regulation of protein localization (GO:1903829)	488	275	198.10	+	1.39	1.45E-05	5.24E-04
T cell activation (GO:0042110)	300	169	121.78	+	1.39	8.25E-04	1.87E-02
regulation of response to biotic stimulus (GO:0002831)	364	205	147.77	+	1.39	2.19E-04	5.84E-03
regulation of cytoskeleton organization (GO:0051493)	544	306	220.84	+	1.39	5.67E-06	2.26E-04
regulation of supramolecular fiber organization (GO:1902903)	386	217	156.70	+	1.38	1.35E-04	3.77E-03
carbohydrate metabolic process (GO:0005975)	417	234	169.28	+	1.38	8.13E-05	2.43E-03
positive regulation of cell death (GO:0010942)	689	386	279.70	+	1.38	3.80E-07	1.87E-05
negative regulation of gene expression (GO:0010629)	932	522	378.34	+	1.38	2.86E-09	1.93E-07
negative regulation of biosynthetic process (GO:0009890)	1589	887	645.05	+	1.38	5.89E-15	6.15E-13
negative regulation of macromolecule biosynthetic process (GO:0010558)	1484	826	602.43	+	1.37	1.03E-13	9.88E-12
regulation of protein localization (GO:0032880)	937	521	380.37	+	1.37	6.18E-09	3.85E-07
regulation of macromolecule biosynthetic process (GO:0010556)	3758	2088	1525.56	+	1.37	1.63E-36	5.57E-34
negative regulation of cellular biosynthetic process (GO:0031327)	1545	858	627.19	+	1.37	4.75E-14	4.62E-12
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1468	813	595.93	+	1.36	3.77E-13	3.53E-11
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3721	2059	1510.54	+	1.36	4.68E-35	1.48E-32
glycoprotein metabolic process (GO:0009100)	291	161	118.13	+	1.36	1.69E-03	3.40E-02
regulation of biosynthetic process (GO:0009889)	4020	2223	1631.91	+	1.36	2.78E-38	1.02E-35
nuclear division (GO:0000280)	302	167	122.60	+	1.36	1.44E-03	2.96E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1886	1042	765.62	+	1.36	1.38E-16	1.57E-14
regulation of cellular biosynthetic process (GO:0031326)	3939	2176	1599.03	+	1.36	3.70E-37	1.30E-34
regulation of protein metabolic process (GO:0051246)	2558	1413	1038.42	+	1.36	8.68E-23	1.50E-20
regulation of cellular component biogenesis (GO:0044087)	995	549	403.92	+	1.36	5.55E-09	3.51E-07
lipid biosynthetic process (GO:0008610)	515	284	209.06	+	1.36	3.78E-05	1.21E-03
regulation of cellular protein metabolic process (GO:0032268)	2381	1313	966.56	+	1.36	7.82E-21	1.15E-18
positive regulation of establishment of protein localization (GO:1904951)	334	184	135.59	+	1.36	1.03E-03	2.22E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1462	805	593.50	+	1.36	1.13E-12	1.01E-10
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3802	2093	1543.42	+	1.36	1.01E-34	3.12E-32
regulation of leukocyte differentiation (GO:1902105)	318	175	129.09	+	1.36	1.33E-03	2.75E-02
positive regulation of hydrolase activity (GO:0051345)	540	297	219.21	+	1.35	2.87E-05	9.43E-04
positive regulation of protein metabolic process (GO:0051247)	1483	815	602.02	+	1.35	1.10E-12	9.92E-11
negative regulation of protein metabolic process (GO:0051248)	1064	584	431.93	+	1.35	3.00E-09	2.00E-07
negative regulation of cellular protein metabolic process (GO:0032269)	999	548	405.54	+	1.35	1.13E-08	6.80E-07
positive regulation of nitrogen compound metabolic process (GO:0051173)	3004	1646	1219.47	+	1.35	1.06E-25	2.23E-23
negative regulation of cellular metabolic process (GO:0031324)	2503	1371	1016.09	+	1.35	5.48E-21	8.16E-19
positive regulation of macromolecule biosynthetic process (GO:0010557)	1805	988	732.74	+	1.35	5.89E-15	6.11E-13
positive regulation of cellular metabolic process (GO:0031325)	3257	1781	1322.17	+	1.35	1.03E-27	2.31E-25
regulation of transferase activity (GO:0051338)	821	448	333.28	+	1.34	4.01E-07	1.96E-05
leukocyte activation (GO:0045321)	585	319	237.48	+	1.34	2.48E-05	8.35E-04
positive regulation of cellular protein metabolic process (GO:0032270)	1399	762	567.92	+	1.34	2.40E-11	1.91E-09
regulation of RNA metabolic process (GO:0051252)	3547	1926	1439.90	+	1.34	4.17E-29	1.06E-26
regulation of DNA-binding transcription factor activity (GO:0051090)	433	235	175.78	+	1.34	3.93E-04	9.87E-03
intracellular signal transduction (GO:0035556)	1360	738	552.09	+	1.34	9.61E-11	7.42E-09
negative regulation of RNA metabolic process (GO:0051253)	1353	733	549.25	+	1.33	1.41E-10	1.06E-08
positive regulation of biosynthetic process (GO:0009891)	1969	1066	799.31	+	1.33	3.89E-15	4.14E-13
regulation of cellular metabolic process (GO:0031323)	5837	3159	2369.52	+	1.33	3.65E-53	1.99E-50
negative regulation of nitrogen compound metabolic process (GO:0051172)	2345	1269	951.95	+	1.33	4.49E-18	5.49E-16
negative regulation of cellular component organization (GO:0051129)	712	385	289.04	+	1.33	5.33E-06	2.14E-04
regulation of cell morphogenesis (GO:0022604)	335	181	135.99	+	1.33	2.01E-03	3.91E-02
positive regulation of cellular biosynthetic process (GO:0031328)	1921	1037	779.83	+	1.33	1.71E-14	1.72E-12
positive regulation of catalytic activity (GO:0043085)	1058	571	429.49	+	1.33	2.99E-08	1.71E-06
positive regulation of RNA metabolic process (GO:0051254)	1702	918	690.92	+	1.33	8.46E-13	7.75E-11
regulation of programmed cell death (GO:0043067)	1560	841	633.28	+	1.33	9.78E-12	8.03E-10
regulation of establishment of protein localization (GO:0070201)	577	311	234.23	+	1.33	5.68E-05	1.77E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5465	2944	2218.51	+	1.33	6.90E-47	3.29E-44
regulation of apoptotic process (GO:0042981)	1528	823	620.29	+	1.33	1.95E-11	1.57E-09
negative regulation of metabolic process (GO:0009892)	2967	1598	1204.45	+	1.33	1.95E-22	3.28E-20
positive regulation of cell cycle (GO:0045787)	351	189	142.49	+	1.33	1.83E-03	3.62E-02
regulation of actin cytoskeleton organization (GO:0032956)	366	197	148.58	+	1.33	1.64E-03	3.30E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3431	1845	1392.81	+	1.32	3.92E-26	8.59E-24
regulation of response to stress (GO:0080134)	1371	737	556.56	+	1.32	3.33E-10	2.41E-08
regulation of cell death (GO:0010941)	1736	931	704.73	+	1.32	1.51E-12	1.31E-10
regulation of primary metabolic process (GO:0080090)	5649	3029	2293.20	+	1.32	2.51E-47	1.27E-44
regulation of protein modification process (GO:0031399)	1569	840	636.93	+	1.32	3.24E-11	2.56E-09
negative regulation of macromolecule metabolic process (GO:0010605)	2747	1469	1115.14	+	1.32	1.26E-19	1.68E-17
small molecule biosynthetic process (GO:0044283)	393	210	159.54	+	1.32	1.47E-03	3.00E-02
in utero embryonic development (GO:0001701)	531	283	215.56	+	1.31	2.25E-04	6.00E-03
positive regulation of molecular function (GO:0044093)	1477	787	599.59	+	1.31	2.63E-10	1.94E-08
positive regulation of metabolic process (GO:0009893)	3772	2009	1531.24	+	1.31	4.15E-27	9.21E-25
regulation of gene expression (GO:0010468)	4693	2498	1905.12	+	1.31	3.57E-35	1.17E-32
regulation of RNA biosynthetic process (GO:2001141)	3249	1728	1318.93	+	1.31	1.16E-22	1.97E-20
regulation of nucleic acid-templated transcription (GO:1903506)	3241	1721	1315.68	+	1.31	2.81E-22	4.62E-20
negative regulation of nucleic acid-templated transcription (GO:1903507)	1246	661	505.81	+	1.31	1.45E-08	8.61E-07
cell activation (GO:0001775)	673	357	273.20	+	1.31	4.20E-05	1.33E-03
regulation of transcription, DNA-templated (GO:0006355)	3237	1717	1314.06	+	1.31	4.39E-22	7.13E-20
negative regulation of RNA biosynthetic process (GO:1902679)	1247	661	506.22	+	1.31	1.70E-08	9.94E-07
regulation of metabolic process (GO:0019222)	6582	3485	2671.95	+	1.30	3.24E-53	1.96E-50
negative regulation of transcription, DNA-templated (GO:0045892)	1242	657	504.19	+	1.30	2.48E-08	1.43E-06
regulation of macromolecule metabolic process (GO:0060255)	6085	3218	2470.20	+	1.30	4.22E-47	2.08E-44
positive regulation of RNA biosynthetic process (GO:1902680)	1567	828	636.12	+	1.30	2.99E-10	2.18E-08
regulation of intracellular signal transduction (GO:1902531)	1621	854	658.04	+	1.30	2.24E-10	1.66E-08
positive regulation of nucleic acid-templated transcription (GO:1903508)	1561	822	633.69	+	1.30	5.80E-10	4.12E-08
positive regulation of transcription, DNA-templated (GO:0045893)	1561	822	633.69	+	1.30	5.80E-10	4.10E-08
cellular component organization or biogenesis (GO:0071840)	5450	2869	2212.42	+	1.30	4.43E-39	1.66E-36
regulation of protein transport (GO:0051223)	547	287	222.05	+	1.29	4.20E-04	1.04E-02
cellular response to cytokine stimulus (GO:0071345)	690	362	280.10	+	1.29	7.79E-05	2.35E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2499	1311	1014.47	+	1.29	2.15E-15	2.32E-13
small molecule metabolic process (GO:0044281)	1474	773	598.37	+	1.29	3.52E-09	2.30E-07
regulation of cellular component organization (GO:0051128)	2423	1270	983.61	+	1.29	7.97E-15	8.21E-13
negative regulation of transcription by RNA polymerase II (GO:0000122)	959	501	389.30	+	1.29	3.83E-06	1.58E-04
microtubule cytoskeleton organization (GO:0000226)	527	275	213.93	+	1.29	7.81E-04	1.79E-02
response to cytokine (GO:0034097)	792	412	321.51	+	1.28	4.28E-05	1.35E-03
regulation of catalytic activity (GO:0050790)	1800	932	730.71	+	1.28	4.35E-10	3.10E-08
positive regulation of cellular component organization (GO:0051130)	1175	607	476.99	+	1.27	9.33E-07	4.29E-05
negative regulation of cell death (GO:0060548)	1115	576	452.63	+	1.27	1.77E-06	7.88E-05
regulation of protein kinase activity (GO:0045859)	596	306	241.95	+	1.26	7.87E-04	1.81E-02
cellular component organization (GO:0016043)	5256	2696	2133.67	+	1.26	6.03E-30	1.58E-27
regulation of kinase activity (GO:0043549)	702	360	284.98	+	1.26	2.94E-04	7.62E-03
positive regulation of cellular component biogenesis (GO:0044089)	535	274	217.18	+	1.26	1.88E-03	3.68E-02
vesicle-mediated transport (GO:0016192)	1375	703	558.18	+	1.26	3.55E-07	1.75E-05
negative regulation of signal transduction (GO:0009968)	1258	642	510.68	+	1.26	1.50E-06	6.68E-05
negative regulation of programmed cell death (GO:0043069)	982	501	398.64	+	1.26	2.63E-05	8.75E-04
negative regulation of apoptotic process (GO:0043066)	959	489	389.30	+	1.26	3.59E-05	1.16E-03
regulation of proteolysis (GO:0030162)	743	377	301.62	+	1.25	4.16E-04	1.04E-02
regulation of molecular function (GO:0065009)	2550	1293	1035.17	+	1.25	5.55E-12	4.70E-10
positive regulation of transcription by RNA polymerase II (GO:0045944)	1265	639	513.53	+	1.24	4.28E-06	1.75E-04
negative regulation of cellular process (GO:0048523)	4935	2491	2003.36	+	1.24	6.38E-24	1.21E-21
microtubule-based process (GO:0007017)	796	400	323.14	+	1.24	4.38E-04	1.08E-02
positive regulation of protein modification process (GO:0031401)	1029	517	417.72	+	1.24	6.20E-05	1.92E-03
response to organonitrogen compound (GO:0010243)	787	395	319.48	+	1.24	5.19E-04	1.25E-02
negative regulation of biological process (GO:0048519)	5397	2700	2190.91	+	1.23	1.29E-24	2.53E-22
cellular lipid metabolic process (GO:0044255)	904	450	366.98	+	1.23	3.71E-04	9.37E-03
negative regulation of cell communication (GO:0010648)	1381	684	560.62	+	1.22	1.35E-05	4.90E-04
negative regulation of signaling (GO:0023057)	1385	685	562.24	+	1.22	1.55E-05	5.53E-04
establishment of localization (GO:0051234)	3834	1894	1556.41	+	1.22	1.63E-14	1.64E-12
regulation of signal transduction (GO:0009966)	2884	1423	1170.76	+	1.22	1.36E-10	1.03E-08
response to abiotic stimulus (GO:0009628)	971	479	394.18	+	1.22	4.09E-04	1.02E-02
response to stress (GO:0006950)	3303	1628	1340.85	+	1.21	4.26E-12	3.63E-10
negative regulation of molecular function (GO:0044092)	1019	502	413.66	+	1.21	3.18E-04	8.18E-03
positive regulation of cellular process (GO:0048522)	5933	2919	2408.49	+	1.21	1.49E-23	2.73E-21
transport (GO:0006810)	3671	1805	1490.24	+	1.21	3.19E-13	3.01E-11
regulation of phosphate metabolic process (GO:0019220)	1422	699	577.26	+	1.21	2.16E-05	7.38E-04
positive regulation of gene expression (GO:0010628)	1203	591	488.36	+	1.21	1.10E-04	3.17E-03
regulation of phosphorus metabolic process (GO:0051174)	1423	699	577.66	+	1.21	2.42E-05	8.15E-04
response to nitrogen compound (GO:1901698)	904	443	366.98	+	1.21	1.00E-03	2.17E-02
chordate embryonic development (GO:0043009)	823	403	334.10	+	1.21	1.81E-03	3.59E-02
negative regulation of response to stimulus (GO:0048585)	1652	808	670.63	+	1.20	7.54E-06	2.92E-04
embryo development ending in birth or egg hatching (GO:0009792)	839	410	340.59	+	1.20	1.98E-03	3.85E-02
cytoskeleton organization (GO:0007010)	1149	561	466.44	+	1.20	2.60E-04	6.82E-03
regulation of hydrolase activity (GO:0051336)	976	474	396.21	+	1.20	1.21E-03	2.53E-02
regulation of phosphorylation (GO:0042325)	1277	620	518.40	+	1.20	1.84E-04	5.02E-03
positive regulation of biological process (GO:0048518)	6454	3115	2619.99	+	1.19	2.23E-21	3.37E-19
positive regulation of intracellular signal transduction (GO:1902533)	984	472	399.45	+	1.18	2.51E-03	4.69E-02
regulation of signaling (GO:0023051)	3319	1590	1347.34	+	1.18	4.24E-09	2.73E-07
regulation of cell communication (GO:0010646)	3308	1581	1342.88	+	1.18	8.20E-09	5.09E-07
cellular response to organic substance (GO:0071310)	1866	891	757.50	+	1.18	3.46E-05	1.13E-03
regulation of protein phosphorylation (GO:0001932)	1132	539	459.53	+	1.17	1.88E-03	3.69E-02
positive regulation of signal transduction (GO:0009967)	1555	735	631.25	+	1.16	4.66E-04	1.14E-02
localization (GO:0051179)	5099	2396	2069.93	+	1.16	1.60E-11	1.30E-09
regulation of response to stimulus (GO:0048583)	4055	1902	1646.12	+	1.16	9.16E-09	5.62E-07
positive regulation of signaling (GO:0023056)	1771	818	718.94	+	1.14	1.51E-03	3.08E-02
positive regulation of cell communication (GO:0010647)	1764	812	716.09	+	1.13	2.17E-03	4.15E-02
cellular process (GO:0009987)	15335	7022	6225.22	+	1.13	1.15E-58	7.54E-56
cellular response to chemical stimulus (GO:0070887)	2473	1128	1003.91	+	1.12	6.17E-04	1.47E-02
response to organic substance (GO:0010033)	2608	1182	1058.71	+	1.12	8.69E-04	1.95E-02
regulation of cellular process (GO:0050794)	11674	5027	4739.05	+	1.06	2.60E-07	1.31E-05
regulation of biological process (GO:0050789)	12211	5238	4957.04	+	1.06	4.13E-07	2.00E-05
biological regulation (GO:0065007)	12822	5484	5205.07	+	1.05	3.98E-07	1.95E-05
biological_process (GO:0008150)	20686	8656	8397.45	+	1.03	4.40E-28	1.04E-25
cellular response to stimulus (GO:0051716)	6781	2535	2752.74	-	.92	2.23E-05	7.61E-04
response to stimulus (GO:0050896)	8671	3156	3519.98	-	.90	2.05E-11	1.64E-09
movement of cell or subcellular component (GO:0006928)	1507	520	611.76	-	.85	8.93E-04	1.99E-02
multicellular organismal process (GO:0032501)	7436	2540	3018.63	-	.84	4.07E-20	5.77E-18
immune response (GO:0006955)	1614	539	655.20	-	.82	4.22E-05	1.34E-03
localization of cell (GO:0051674)	1071	357	434.77	-	.82	8.99E-04	2.00E-02
cell motility (GO:0048870)	1071	357	434.77	-	.82	8.99E-04	2.00E-02
regulation of ion transport (GO:0043269)	750	245	304.46	-	.80	2.50E-03	4.68E-02
locomotion (GO:0040011)	1285	418	521.64	-	.80	4.12E-05	1.31E-03
animal organ morphogenesis (GO:0009887)	1046	336	424.62	-	.79	1.13E-04	3.23E-03
cell communication (GO:0007154)	5449	1727	2212.01	-	.78	3.36E-25	6.97E-23
immune effector process (GO:0002252)	565	177	229.36	-	.77	2.09E-03	4.03E-02
signal transduction (GO:0007165)	5016	1571	2036.24	-	.77	8.79E-25	1.80E-22
regulation of system process (GO:0044057)	640	199	259.81	-	.77	7.69E-04	1.77E-02
signaling (GO:0023052)	5336	1658	2166.14	-	.77	4.91E-28	1.14E-25
adaptive immune response (GO:0002250)	515	160	209.06	-	.77	2.62E-03	4.87E-02
circulatory system process (GO:0003013)	466	142	189.17	-	.75	2.43E-03	4.57E-02
response to bacterium (GO:0009617)	896	272	363.73	-	.75	1.36E-05	4.92E-04
cell-cell signaling (GO:0007267)	848	256	344.24	-	.74	1.70E-05	6.01E-04
sensory organ development (GO:0007423)	610	184	247.63	-	.74	3.00E-04	7.77E-03
blood circulation (GO:0008015)	434	130	176.18	-	.74	1.94E-03	3.79E-02
activation of immune response (GO:0002253)	428	127	173.75	-	.73	1.52E-03	3.09E-02
axon development (GO:0061564)	401	118	162.79	-	.72	1.74E-03	3.48E-02
cell junction organization (GO:0034330)	520	151	211.09	-	.72	2.07E-04	5.56E-03
axonogenesis (GO:0007409)	367	105	148.98	-	.70	1.24E-03	2.59E-02
synapse organization (GO:0050808)	312	88	126.66	-	.69	2.21E-03	4.22E-02
sensory organ morphogenesis (GO:0090596)	306	86	124.22	-	.69	2.01E-03	3.91E-02
antigen receptor-mediated signaling pathway (GO:0050851)	310	86	125.84	-	.68	1.43E-03	2.95E-02
taxis (GO:0042330)	510	141	207.03	-	.68	3.15E-05	1.03E-03
chemotaxis (GO:0006935)	505	139	205.00	-	.68	2.86E-05	9.40E-04
immune response-activating signal transduction (GO:0002757)	343	93	139.24	-	.67	3.55E-04	9.03E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	368	99	149.39	-	.66	1.68E-04	4.62E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	342	92	138.83	-	.66	2.81E-04	7.34E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	355	95	144.11	-	.66	1.93E-04	5.23E-03
regulation of blood circulation (GO:1903522)	262	70	106.36	-	.66	1.50E-03	3.06E-02
regulation of blood pressure (GO:0008217)	220	57	89.31	-	.64	2.12E-03	4.08E-02
cell-cell adhesion (GO:0098609)	441	113	179.02	-	.63	5.25E-06	2.11E-04
synaptic signaling (GO:0099536)	418	106	169.69	-	.62	7.17E-06	2.80E-04
positive regulation of B cell activation (GO:0050871)	273	69	110.82	-	.62	3.03E-04	7.81E-03
biological adhesion (GO:0022610)	879	219	356.83	-	.61	7.85E-12	6.54E-10
leukocyte mediated immunity (GO:0002443)	412	101	167.25	-	.60	2.19E-06	9.51E-05
cell adhesion (GO:0007155)	869	213	352.77	-	.60	2.66E-12	2.29E-10
regulation of nervous system process (GO:0031644)	188	46	76.32	-	.60	1.41E-03	2.92E-02
potassium ion transport (GO:0006813)	165	40	66.98	-	.60	2.50E-03	4.69E-02
phagocytosis (GO:0006909)	349	84	141.68	-	.59	6.70E-06	2.63E-04
hormone metabolic process (GO:0042445)	174	41	70.64	-	.58	1.13E-03	2.38E-02
trans-synaptic signaling (GO:0099537)	378	89	153.45	-	.58	1.19E-06	5.42E-05
chemical synaptic transmission (GO:0007268)	358	84	145.33	-	.58	2.28E-06	9.85E-05
anterograde trans-synaptic signaling (GO:0098916)	358	84	145.33	-	.58	2.28E-06	9.82E-05
production of molecular mediator of immune response (GO:0002440)	291	68	118.13	-	.58	1.75E-05	6.14E-04
lymphocyte mediated immunity (GO:0002449)	353	82	143.30	-	.57	1.89E-06	8.36E-05
immunoglobulin production (GO:0002377)	272	63	110.42	-	.57	2.66E-05	8.82E-04
retina development in camera-type eye (GO:0060041)	161	37	65.36	-	.57	1.21E-03	2.53E-02
cilium movement (GO:0003341)	187	41	75.91	-	.54	1.73E-04	4.73E-03
potassium ion transmembrane transport (GO:0071805)	142	31	57.64	-	.54	1.01E-03	2.18E-02
defense response to Gram-positive bacterium (GO:0050830)	152	33	61.70	-	.53	6.08E-04	1.45E-02
axon guidance (GO:0007411)	242	52	98.24	-	.53	1.00E-05	3.74E-04
extracellular matrix organization (GO:0030198)	275	59	111.64	-	.53	2.58E-06	1.10E-04
neuron projection guidance (GO:0097485)	243	52	98.65	-	.53	1.01E-05	3.74E-04
extracellular structure organization (GO:0043062)	276	59	112.04	-	.53	2.01E-06	8.82E-05
external encapsulating structure organization (GO:0045229)	277	59	112.45	-	.52	2.03E-06	8.87E-05
sodium ion transport (GO:0006814)	171	36	69.42	-	.52	1.53E-04	4.24E-03
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	209	44	84.84	-	.52	2.68E-05	8.86E-04
Unclassified (UNCLASSIFIED)	1302	270	528.55	-	.51	4.40E-28	1.05E-25
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	135	27	54.80	-	.49	4.63E-04	1.13E-02
detection of external stimulus (GO:0009581)	135	27	54.80	-	.49	4.63E-04	1.13E-02
regulation of synapse assembly (GO:0051963)	121	24	49.12	-	.49	8.67E-04	1.95E-02
unsaturated fatty acid metabolic process (GO:0033559)	122	24	49.53	-	.48	6.52E-04	1.53E-02
regulation of heart rate (GO:0002027)	112	22	45.47	-	.48	1.08E-03	2.31E-02
detection of abiotic stimulus (GO:0009582)	134	26	54.40	-	.48	3.02E-04	7.81E-03
B cell mediated immunity (GO:0019724)	292	55	118.54	-	.46	1.65E-08	9.72E-07
defense response to bacterium (GO:0042742)	513	93	208.25	-	.45	4.06E-15	4.29E-13
B cell receptor signaling pathway (GO:0050853)	221	40	89.71	-	.45	4.33E-07	2.09E-05
feeding behavior (GO:0007631)	105	19	42.62	-	.45	6.60E-04	1.55E-02
immunoglobulin mediated immune response (GO:0016064)	288	52	116.91	-	.44	5.52E-09	3.51E-07
digestion (GO:0007586)	90	16	36.54	-	.44	1.19E-03	2.50E-02
positive regulation of synapse assembly (GO:0051965)	80	14	32.48	-	.43	1.97E-03	3.84E-02
detection of stimulus (GO:0051606)	280	49	113.67	-	.43	3.06E-09	2.03E-07
sodium ion transmembrane transport (GO:0035725)	92	16	37.35	-	.43	8.84E-04	1.98E-02
system process (GO:0003008)	2700	469	1096.06	-	.43	4.81E-85	5.41E-82
regulation of systemic arterial blood pressure (GO:0003073)	127	22	51.56	-	.43	8.33E-05	2.48E-03
regulation of animal organ morphogenesis (GO:2000027)	128	22	51.96	-	.42	6.07E-05	1.88E-03
olefinic compound metabolic process (GO:0120254)	146	25	59.27	-	.42	1.92E-05	6.67E-04
sensory perception of light stimulus (GO:0050953)	165	28	66.98	-	.42	3.18E-06	1.33E-04
xenobiotic metabolic process (GO:0006805)	120	20	48.71	-	.41	7.31E-05	2.22E-03
action potential (GO:0001508)	96	16	38.97	-	.41	3.53E-04	8.98E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	193	32	78.35	-	.41	2.69E-07	1.35E-05
cell fate specification (GO:0001708)	86	14	34.91	-	.40	5.72E-04	1.37E-02
visual perception (GO:0007601)	161	26	65.36	-	.40	2.05E-06	8.94E-05
membrane invagination (GO:0010324)	247	39	100.27	-	.39	1.56E-09	1.07E-07
defense response to Gram-negative bacterium (GO:0050829)	128	20	51.96	-	.38	1.53E-05	5.48E-04
cell recognition (GO:0008037)	330	51	133.96	-	.38	9.07E-13	8.22E-11
killing of cells of other organism (GO:0031640)	65	10	26.39	-	.38	2.04E-03	3.96E-02
neuron fate commitment (GO:0048663)	75	11	30.45	-	.36	7.28E-04	1.68E-02
plasma membrane invagination (GO:0099024)	240	35	97.43	-	.36	2.01E-10	1.49E-08
arachidonic acid metabolic process (GO:0019369)	78	11	31.66	-	.35	3.68E-04	9.32E-03
modulation of process of other organism (GO:0035821)	64	9	25.98	-	.35	1.10E-03	2.34E-02
multicellular organismal signaling (GO:0035637)	120	16	48.71	-	.33	2.48E-06	1.06E-04
antimicrobial humoral response (GO:0019730)	158	21	64.14	-	.33	5.00E-08	2.76E-06
nervous system process (GO:0050877)	2161	287	877.26	-	.33	9.39E-99	1.23E-95
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	124	16	50.34	-	.32	1.27E-06	5.74E-05
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	110	14	44.65	-	.31	3.62E-06	1.50E-04
phagocytosis, engulfment (GO:0006911)	231	29	93.77	-	.31	7.49E-12	6.28E-10
transmission of nerve impulse (GO:0019226)	71	8	28.82	-	.28	8.98E-05	2.66E-03
sensory perception of taste (GO:0050909)	71	8	28.82	-	.28	8.98E-05	2.65E-03
detection of stimulus involved in sensory perception (GO:0050906)	179	20	72.66	-	.28	1.57E-10	1.18E-08
detection of chemical stimulus (GO:0009593)	128	14	51.96	-	.27	6.76E-08	3.65E-06
humoral immune response (GO:0006959)	431	46	174.96	-	.26	1.19E-24	2.37E-22
neuropeptide signaling pathway (GO:0007218)	89	8	36.13	-	.22	8.60E-07	4.00E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1823	154	740.04	-	.21	5.37E-126	1.06E-122
neuronal action potential (GO:0019228)	38	3	15.43	-	.19	1.49E-03	3.04E-02
sensory perception of bitter taste (GO:0050913)	51	4	20.70	-	.19	1.39E-04	3.89E-03
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	52	4	21.11	-	.19	9.18E-05	2.70E-03
antibacterial humoral response (GO:0019731)	94	7	38.16	-	.18	6.20E-08	3.37E-06
phagocytosis, recognition (GO:0006910)	203	15	82.41	-	.18	9.14E-16	1.01E-13
sensory perception (GO:0007600)	1649	118	669.41	-	.18	8.31E-127	1.87E-123
peptide cross-linking (GO:0018149)	42	3	17.05	-	.18	4.07E-04	1.02E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	220	14	89.31	-	.16	1.17E-18	1.51E-16
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	48	3	19.49	-	.15	7.28E-05	2.22E-03
complement activation (GO:0006956)	231	14	93.77	-	.15	5.68E-20	7.86E-18
complement activation, classical pathway (GO:0006958)	216	12	87.68	-	.14	1.54E-19	2.04E-17
keratinization (GO:0031424)	36	2	14.61	-	.14	4.89E-04	1.19E-02
mucosal immune response (GO:0002385)	79	4	32.07	-	.12	6.33E-08	3.43E-06
organ or tissue specific immune response (GO:0002251)	83	4	33.69	-	.12	1.57E-08	9.28E-07
detection of chemical stimulus involved in sensory perception (GO:0050907)	96	4	38.97	-	.10	2.69E-10	1.97E-08
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	50	2	20.30	-	.10	8.54E-06	3.28E-04
positive regulation of lactation (GO:1903489)	27	1	10.96	-	.09	1.33E-03	2.76E-02
regulation of lactation (GO:1903487)	28	1	11.37	-	.09	1.44E-03	2.96E-02
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	29	1	11.77	-	.08	8.49E-04	1.92E-02
epoxygenase P450 pathway (GO:0019373)	36	1	14.61	-	.07	7.92E-05	2.38E-03
membrane disruption in other organism (GO:0051673)	44	1	17.86	-	.06	7.56E-06	2.92E-04
sensory perception of chemical stimulus (GO:0007606)	1224	19	496.88	-	.04	2.51E-154	1.98E-150
innate immune response in mucosa (GO:0002227)	67	1	27.20	-	.04	3.35E-09	2.20E-07
response to pheromone (GO:0019236)	104	1	42.22	-	.02	1.72E-14	1.71E-12
